Marca,Título do Produto,URL do Produto,Descrição HTML,Tags,Título da Variante,SKU,Preço (€),Caminhos das Imagens Locais
ACE,ACE X COSMIC COOL MINT 16MG,https://snusmart.com/products/ace-x-cosmic-cool-mint,,"ACE, MEDIUM, MINT",Default Title,5707294351379,4.09,/home/ubuntu/snusmart_data/images/ace-x-cosmic-cool-mint_77824477888838.jpg
ACE,ACE EUCALYPTUS 16MG,https://snusmart.com/products/ace-eucalyptus,,"ACE, MEDIUM, MINT",Default Title,5707294250832,4.09,/home/ubuntu/snusmart_data/images/ace-eucalyptus_77824391250246.jpg
ACE,ACE COOL MINT 12MG,https://snusmart.com/products/ace-cool-mint,,"ACE, MEDIUM, MINT",Default Title,5707294391733,4.09,/home/ubuntu/snusmart_data/images/ace-cool-mint_77824533987654.jpg
ACE,ACE X GUARANA CHILI BOOST 16MG,https://snusmart.com/products/ace-x-guarana-chili-boost,54.99,"ACE, CHILI, EXOTIC FRUITS, MEDIUM",Default Title,5707294351812,4.09,/home/ubuntu/snusmart_data/images/ace-x-guarana-chili-boost_77824443547974.jpg
ACE,ACE X COOL MINT 16MG,https://snusmart.com/products/ace-x-cool-mint,,"ACE, MEDIUM, MINT",Default Title,5707294351331,4.09,/home/ubuntu/snusmart_data/images/ace-x-cool-mint_77824509247814.jpg
ACE,ACE X BLACK RASPBERRY CHILI 16MG,https://snusmart.com/products/ace-x-black-raspberry-chili,,"ACE, CHILI, FRUIT, MEDIUM, MINT, RASPBERRY",Default Title,5707294359900,4.09,/home/ubuntu/snusmart_data/images/ace-x-black-raspberry-chili_77824362316102.jpg
ATHENA,ATHENA WATERMELON ICE 10.4MG,https://snusmart.com/products/athena-watermelon-ice-10-4mg,,,Default Title,6295156220264,3.79,/home/ubuntu/snusmart_data/images/athena-watermelon-ice-10-4mg_80667043692870.jpg
ATHENA,ATHENA ARTIC MINT 10.4MG,https://snusmart.com/products/athena-artic-mint-10-4mg,,,Default Title,6295156220288,3.79,/home/ubuntu/snusmart_data/images/athena-artic-mint-10-4mg_80667043365190.jpg
ATHENA,ATHENA ARTIC MINT 17MG,https://snusmart.com/products/athena-artic-mint-17mg,,,Default Title,6295156220271,3.79,/home/ubuntu/snusmart_data/images/athena-artic-mint-17mg_80667043168582.jpg
ATHENA,ATHENA PEPPERMINT 10.4MG,https://snusmart.com/products/athena-peppermint-10-4mg,,,Default Title,6295156220257,3.79,/home/ubuntu/snusmart_data/images/athena-peppermint-10-4mg_80667043004742.jpg
ATHENA,ATHENA PEPPERMINT 17MG,https://snusmart.com/products/athena-peppermint-17mg,,,Default Title,6298042567399,3.79,/home/ubuntu/snusmart_data/images/athena-peppermint-17mg_80667042742598.jpg
BEZZER,BEZZER WATERMELON 50MG,https://snusmart.com/products/bezzer-watermelon-50mg,,WATERMELON,Default Title,5900178958248,3.79,/home/ubuntu/snusmart_data/images/bezzer-watermelon-50mg_80233193406790.jpg
